2021-08-10T15:51:59 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-rmrb
2021-08-10T15:52:12 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-10T15:52:12 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-10T16:32:13 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-fo-china-japan
2021-08-10T16:32:13 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-fo-china-japan
2021-08-10T16:32:13 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-fo-china-japan
2021-08-10T18:13:12 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/4b45c340-32de-4c8e-94aa-d1ace6c1891d
2021-08-10T18:17:38 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/5ec943ac-cf64-4c30-ab82-8ab6b6ee17b8
2021-08-10T20:58:07 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/45856b50-f845-43be-b57a-9620f8cdf616
2021-08-10T20:59:44 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-10T20:59:44 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-10T21:02:34 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-10T21:02:34 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-10T21:02:34 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-10T21:04:43 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-10T21:04:43 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-10T21:04:43 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-10T21:04:43 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-10T21:06:31 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-10T22:16:16 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz
2021-08-11T11:48:16 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8088/rest/ajax-loc-gaz2021-08-16T13:00:31 INFO    Error during index: ERROR in indexing(null)-> null
2021-08-16T13:05:54 INFO    Error during index: ERROR in indexing(null)-> null
2021-08-16T13:05:54 INFO    Error during index: ERROR in indexing(null)-> null
2021-08-16T13:07:18 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8888/fcrepo/rest/ajax-loc-gaz
2021-08-16T21:13:04 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8888/fcrepo/rest/9c1c9721-e5d9-44f6-a2a8-2bc94a0b92e7
2021-08-17T11:20:36 INFO    Added: OK -> http://b-lx0147.sbb.spk-berlin.de:8888/fcrepo/rest/ajax-rmrb
